symbol,date,expiry,option_type,strike_price,open,high,low,close,ltp,settle_price,no_of_contracts,turnover_in_lakhs,premium_turnover_in_lakhs,open_int,change_in_oi,underlying_value,time_to_expiration
NIFTY,2025-05-12,2025-05-15,CE,25600.0,2.85,29.2,2.15,20.15,19.45,20.15,822426.0,15798565.83,7986.63,3337350.0,1494900.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,25750.0,2.0,17.7,1.8,11.95,11.0,11.95,395484.0,7640133.65,2348.9,1377150.0,690600.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,25950.0,1.85,9.85,1.5,6.1,6.15,6.1,238797.0,4648462.5,875.88,1605300.0,847725.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,26150.0,2.05,6.15,1.3,3.75,3.45,3.75,213471.0,4187186.86,486.87,911250.0,318000.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,25300.0,4.65,78.6,4.65,62.55,63.5,62.55,1283642.0,24391082.48,33975.53,3439650.0,468225.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,25550.0,1.65,34.55,1.65,24.45,23.15,24.45,479452.0,9192734.45,5235.5,1084575.0,302400.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,24300.0,185.0,724.0,185.0,696.4,695.75,696.4,135127.0,2502642.96,39953.38,1298025.0,-1804800.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,24350.0,180.0,680.4,180.0,652.65,654.85,652.65,58611.0,1085465.94,15082.55,701775.0,-744900.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,23150.0,1330.2,1776.1,1330.2,1776.1,1776.1,1787.0,57.0,1057.23,67.56,2550.0,-2175.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,24400.0,150.0,637.0,150.0,610.0,615.0,610.0,300958.0,5578080.79,70549.39,2301675.0,-1832850.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,23200.0,1277.15,1781.95,1277.15,1775.8,1764.3,1775.8,422.0,7797.6,454.8,50325.0,-22200.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-15,CE,25650.0,2.75,24.75,2.05,17.05,15.9,17.05,426191.0,8202331.61,3482.25,969750.0,386775.0,24924.7,0.008213552361396304
